text,domain,intent
find the schedule for death valley manhunt ,inscope,SearchScreeningEvent
rate goodbye  mr  chips one stars,inscope,RateBook
show me a cool nintendo switch game,oos,oos
add shame on you to my masters of metal playlist,inscope,AddToPlaylist
find a novel called downward to the earth ,inscope,SearchCreativeWork
play tv show way of the samurai 2,inscope,SearchCreativeWork
play the seamus heaney collected poems song,inscope,SearchCreativeWork
please spell check my resume,oos,oos
what will the weather be like in 16 weeks at the ivory coast,inscope,GetWeather
give one out of 6 to a week in the woods,inscope,RateBook
add afdlin shauki to la mejor música dance 2017,inscope,AddToPlaylist
book a hawaiian diner in south carolina not far away in 1 second from now ,inscope,BookRestaurant
make a reservation for four at a pub in sugarville ,inscope,BookRestaurant
add tsubasa imai to my another glass playlist,inscope,AddToPlaylist
find a reservation at berowra waters inn in australia in 2 years ,inscope,BookRestaurant
what is the weather like in ia in april,inscope,GetWeather
rate the current book three out of 6 ,inscope,RateBook
what is the best way to clean ceiling fans,oos,oos
what is the movie schedule for animated movies playing in the neighborhood,inscope,SearchScreeningEvent
what is the price to buy more data on my phone,oos,oos
play some chant music from 2008 ,inscope,PlayMusic
play a tune from 1962,inscope,PlayMusic
i d like to eat at a neighboring downtown restaurant with a party of 2,inscope,BookRestaurant
plya a tune by kancherla gopanna from 1951 on zvooq,inscope,PlayMusic
will it be warm 1 week from now in dc,inscope,GetWeather
play gary chapman music from the fifties,inscope,PlayMusic
party for 2 in cleveland,inscope,BookRestaurant
tell me about the oscars,oos,oos
add jalal zolfonun to my nature noise,inscope,AddToPlaylist
how many pokemon have i caught in my pokemon go app,oos,oos
play some soul music,inscope,PlayMusic
for this essay i give a posiabble 3 of 6 ,inscope,RateBook
what is the forecast for dr  julian g  bruce st  george island state park for rainy weather,inscope,GetWeather
i want to listen to nineties chant songs,inscope,PlayMusic
what is the overcast forecast for torrey pines state beach,inscope,GetWeather
add a norma jean tune to the soul revived playlist  ,inscope,AddToPlaylist
which character is the most famous from titanic,oos,oos
i d like to see completely well,inscope,SearchCreativeWork
